  # Source : patch bedOfSpheres_to_fluid
# Faces  : 2688
# Time	sum(magSf)	areaAverage(T)
1.360781e+02	3.143397e+00	5.380659e+02
1.363906e+02	3.143397e+00	5.379346e+02
1.367031e+02	3.143397e+00	5.378035e+02
1.370156e+02	3.143397e+00	5.376724e+02
1.373281e+02	3.143397e+00	5.375415e+02
1.376406e+02	3.143397e+00	5.374107e+02
1.379531e+02	3.143397e+00	5.372799e+02
1.382656e+02	3.143397e+00	5.371493e+02
1.385781e+02	3.143397e+00	5.370187e+02
1.388906e+02	3.143397e+00	5.368883e+02
1.392031e+02	3.143397e+00	5.367580e+02
1.395156e+02	3.143397e+00	5.366277e+02
1.398281e+02	3.143397e+00	5.364976e+02
1.401406e+02	3.143397e+00	5.363675e+02
1.404531e+02	3.143397e+00	5.362376e+02
1.407656e+02	3.143397e+00	5.361077e+02
1.410781e+02	3.143397e+00	5.359780e+02
1.413906e+02	3.143397e+00	5.358483e+02
1.417031e+02	3.143397e+00	5.357188e+02
1.420156e+02	3.143397e+00	5.355893e+02
1.423281e+02	3.143397e+00	5.354600e+02
1.426406e+02	3.143397e+00	5.353307e+02
1.429531e+02	3.143397e+00	5.352015e+02
1.432656e+02	3.143397e+00	5.350724e+02
1.435781e+02	3.143397e+00	5.349434e+02
1.438906e+02	3.143397e+00	5.348146e+02
1.442031e+02	3.143397e+00	5.346858e+02
1.445156e+02	3.143397e+00	5.345571e+02
1.448281e+02	3.143397e+00	5.344284e+02
1.451406e+02	3.143397e+00	5.342999e+02
1.454531e+02	3.143397e+00	5.341715e+02
1.457656e+02	3.143397e+00	5.340432e+02
1.460781e+02	3.143397e+00	5.339149e+02
1.463906e+02	3.143397e+00	5.337868e+02
1.467031e+02	3.143397e+00	5.336587e+02
1.470156e+02	3.143397e+00	5.335308e+02
1.473281e+02	3.143397e+00	5.334029e+02
1.476406e+02	3.143397e+00	5.332751e+02
1.479531e+02	3.143397e+00	5.331474e+02
1.482656e+02	3.143397e+00	5.330198e+02
1.485781e+02	3.143397e+00	5.328923e+02
1.488906e+02	3.143397e+00	5.327648e+02
1.492031e+02	3.143397e+00	5.326375e+02
1.495156e+02	3.143397e+00	5.325103e+02
1.498281e+02	3.143397e+00	5.323831e+02
1.501406e+02	3.143397e+00	5.322560e+02
1.504531e+02	3.143397e+00	5.321290e+02
1.507656e+02	3.143397e+00	5.320021e+02
1.510781e+02	3.143397e+00	5.318753e+02
1.513906e+02	3.143397e+00	5.317486e+02
1.517031e+02	3.143397e+00	5.316220e+02
1.520156e+02	3.143397e+00	5.314954e+02
1.523281e+02	3.143397e+00	5.313689e+02
1.526406e+02	3.143397e+00	5.312426e+02
1.529531e+02	3.143397e+00	5.311163e+02
1.532656e+02	3.143397e+00	5.309900e+02
1.535781e+02	3.143397e+00	5.308639e+02
1.538906e+02	3.143397e+00	5.307379e+02
1.542031e+02	3.143397e+00	5.306119e+02
1.545156e+02	3.143397e+00	5.304861e+02
1.548281e+02	3.143397e+00	5.303603e+02
1.551406e+02	3.143397e+00	5.302346e+02
1.554531e+02	3.143397e+00	5.301089e+02
1.557656e+02	3.143397e+00	5.299834e+02
1.560781e+02	3.143397e+00	5.298580e+02
1.563906e+02	3.143397e+00	5.297326e+02
1.567031e+02	3.143397e+00	5.296073e+02
1.570156e+02	3.143397e+00	5.294821e+02
1.573281e+02	3.143397e+00	5.293570e+02
1.576406e+02	3.143397e+00	5.292319e+02
1.579531e+02	3.143397e+00	5.291070e+02
1.582656e+02	3.143397e+00	5.289821e+02
1.585781e+02	3.143397e+00	5.288573e+02
1.588906e+02	3.143397e+00	5.287326e+02
1.592031e+02	3.143397e+00	5.286080e+02
1.595156e+02	3.143397e+00	5.284834e+02
1.598281e+02	3.143397e+00	5.283589e+02
1.601406e+02	3.143397e+00	5.282345e+02
1.604531e+02	3.143397e+00	5.281102e+02
1.607656e+02	3.143397e+00	5.279860e+02
1.610781e+02	3.143397e+00	5.278619e+02
1.613906e+02	3.143397e+00	5.277378e+02
1.617031e+02	3.143397e+00	5.276138e+02
1.620156e+02	3.143397e+00	5.274899e+02
1.623281e+02	3.143397e+00	5.273660e+02
1.626406e+02	3.143397e+00	5.272423e+02
1.629531e+02	3.143397e+00	5.271186e+02
1.632656e+02	3.143397e+00	5.269950e+02
1.635781e+02	3.143397e+00	5.268715e+02
1.638906e+02	3.143397e+00	5.267481e+02
1.642031e+02	3.143397e+00	5.266247e+02
1.645156e+02	3.143397e+00	5.265014e+02
1.648281e+02	3.143397e+00	5.263782e+02
1.651406e+02	3.143397e+00	5.262551e+02
1.654531e+02	3.143397e+00	5.261320e+02
1.657656e+02	3.143397e+00	5.260090e+02
1.660781e+02	3.143397e+00	5.258861e+02
1.663906e+02	3.143397e+00	5.257633e+02
1.667031e+02	3.143397e+00	5.256406e+02
1.670156e+02	3.143397e+00	5.255179e+02
1.673281e+02	3.143397e+00	5.253953e+02
1.676406e+02	3.143397e+00	5.252728e+02
1.679531e+02	3.143397e+00	5.251504e+02
1.682656e+02	3.143397e+00	5.250280e+02
1.685781e+02	3.143397e+00	5.249057e+02
1.688906e+02	3.143397e+00	5.247835e+02
1.692031e+02	3.143397e+00	5.246613e+02
1.695156e+02	3.143397e+00	5.245393e+02
1.698281e+02	3.143397e+00	5.244173e+02
1.701406e+02	3.143397e+00	5.242954e+02
1.704531e+02	3.143397e+00	5.241735e+02
1.707656e+02	3.143397e+00	5.240518e+02
1.710781e+02	3.143397e+00	5.239301e+02
1.713906e+02	3.143397e+00	5.238085e+02
1.717031e+02	3.143397e+00	5.236869e+02
1.720156e+02	3.143397e+00	5.235655e+02
1.723281e+02	3.143397e+00	5.234441e+02
1.726406e+02	3.143397e+00	5.233227e+02
1.729531e+02	3.143397e+00	5.232015e+02
1.732656e+02	3.143397e+00	5.230803e+02
1.735781e+02	3.143397e+00	5.229592e+02
1.738906e+02	3.143397e+00	5.228382e+02
1.742031e+02	3.143397e+00	5.227172e+02
1.745156e+02	3.143397e+00	5.225964e+02
1.748281e+02	3.143397e+00	5.224756e+02
1.751406e+02	3.143397e+00	5.223548e+02
1.754531e+02	3.143397e+00	5.222342e+02
1.757656e+02	3.143397e+00	5.221136e+02
1.760781e+02	3.143397e+00	5.219931e+02
1.763906e+02	3.143397e+00	5.218726e+02
1.767031e+02	3.143397e+00	5.217522e+02
1.770156e+02	3.143397e+00	5.216319e+02
1.773281e+02	3.143397e+00	5.215117e+02
1.776406e+02	3.143397e+00	5.213915e+02
1.779531e+02	3.143397e+00	5.212715e+02
