  # Source : patch outlet
# Faces  : 160
# Time	sum(magSf)	weightedAverage(T)
1.432656e+02	8.718506e+00	3.518117e+02
1.435781e+02	8.718506e+00	3.517834e+02
1.438906e+02	8.718506e+00	3.517552e+02
1.442031e+02	8.718506e+00	3.517270e+02
1.445156e+02	8.718506e+00	3.516988e+02
1.448281e+02	8.718506e+00	3.516707e+02
1.451406e+02	8.718506e+00	3.516425e+02
1.454531e+02	8.718506e+00	3.516144e+02
1.457656e+02	8.718506e+00	3.515863e+02
1.460781e+02	8.718506e+00	3.515582e+02
1.463906e+02	8.718506e+00	3.515302e+02
1.467031e+02	8.718506e+00	3.515021e+02
1.470156e+02	8.718506e+00	3.514741e+02
1.473281e+02	8.718506e+00	3.514461e+02
1.476406e+02	8.718506e+00	3.514181e+02
1.479531e+02	8.718506e+00	3.513902e+02
1.482656e+02	8.718506e+00	3.513622e+02
1.485781e+02	8.718506e+00	3.513343e+02
1.488906e+02	8.718506e+00	3.513064e+02
1.492031e+02	8.718506e+00	3.512785e+02
1.495156e+02	8.718506e+00	3.512507e+02
1.498281e+02	8.718506e+00	3.512228e+02
1.501406e+02	8.718506e+00	3.511950e+02
1.504531e+02	8.718506e+00	3.511672e+02
1.507656e+02	8.718506e+00	3.511394e+02
1.510781e+02	8.718506e+00	3.511117e+02
1.513906e+02	8.718506e+00	3.510839e+02
1.517031e+02	8.718506e+00	3.510562e+02
1.520156e+02	8.718506e+00	3.510285e+02
1.523281e+02	8.718506e+00	3.510008e+02
1.526406e+02	8.718506e+00	3.509731e+02
1.529531e+02	8.718506e+00	3.509455e+02
1.532656e+02	8.718506e+00	3.509179e+02
1.535781e+02	8.718506e+00	3.508902e+02
1.538906e+02	8.718506e+00	3.508627e+02
1.542031e+02	8.718506e+00	3.508351e+02
1.545156e+02	8.718506e+00	3.508075e+02
1.548281e+02	8.718506e+00	3.507800e+02
1.551406e+02	8.718506e+00	3.507525e+02
1.554531e+02	8.718506e+00	3.507250e+02
1.557656e+02	8.718506e+00	3.506975e+02
1.560781e+02	8.718506e+00	3.506700e+02
1.563906e+02	8.718506e+00	3.506426e+02
1.567031e+02	8.718506e+00	3.506152e+02
1.570156e+02	8.718506e+00	3.505878e+02
1.573281e+02	8.718506e+00	3.505604e+02
1.576406e+02	8.718506e+00	3.505330e+02
1.579531e+02	8.718506e+00	3.505057e+02
1.582656e+02	8.718506e+00	3.504783e+02
1.585781e+02	8.718506e+00	3.504510e+02
1.588906e+02	8.718506e+00	3.504237e+02
1.592031e+02	8.718506e+00	3.503964e+02
1.595156e+02	8.718506e+00	3.503692e+02
1.598281e+02	8.718506e+00	3.503419e+02
1.601406e+02	8.718506e+00	3.503147e+02
1.604531e+02	8.718506e+00	3.502875e+02
1.607656e+02	8.718506e+00	3.502603e+02
1.610781e+02	8.718506e+00	3.502331e+02
1.613906e+02	8.718506e+00	3.502059e+02
1.617031e+02	8.718506e+00	3.501788e+02
1.620156e+02	8.718506e+00	3.501517e+02
1.623281e+02	8.718506e+00	3.501246e+02
1.626406e+02	8.718506e+00	3.500975e+02
1.629531e+02	8.718506e+00	3.500704e+02
1.632656e+02	8.718506e+00	3.500434e+02
1.635781e+02	8.718506e+00	3.500163e+02
1.638906e+02	8.718506e+00	3.499893e+02
1.642031e+02	8.718506e+00	3.499623e+02
1.645156e+02	8.718506e+00	3.499353e+02
1.648281e+02	8.718506e+00	3.499083e+02
1.651406e+02	8.718506e+00	3.498814e+02
1.654531e+02	8.718506e+00	3.498544e+02
1.657656e+02	8.718506e+00	3.498275e+02
1.660781e+02	8.718506e+00	3.498006e+02
1.663906e+02	8.718506e+00	3.497737e+02
1.667031e+02	8.718506e+00	3.497469e+02
1.670156e+02	8.718506e+00	3.497200e+02
1.673281e+02	8.718506e+00	3.496932e+02
1.676406e+02	8.718506e+00	3.496664e+02
1.679531e+02	8.718506e+00	3.496396e+02
1.682656e+02	8.718506e+00	3.496128e+02
1.685781e+02	8.718506e+00	3.495860e+02
1.688906e+02	8.718506e+00	3.495592e+02
1.692031e+02	8.718506e+00	3.495325e+02
1.695156e+02	8.718506e+00	3.495058e+02
1.698281e+02	8.718506e+00	3.494791e+02
1.701406e+02	8.718506e+00	3.494524e+02
1.704531e+02	8.718506e+00	3.494257e+02
1.707656e+02	8.718506e+00	3.493991e+02
1.710781e+02	8.718506e+00	3.493724e+02
1.713906e+02	8.718506e+00	3.493458e+02
1.717031e+02	8.718506e+00	3.493192e+02
1.720156e+02	8.718506e+00	3.492926e+02
1.723281e+02	8.718506e+00	3.492660e+02
1.726406e+02	8.718506e+00	3.492394e+02
1.729531e+02	8.718506e+00	3.492129e+02
1.732656e+02	8.718506e+00	3.491864e+02
1.735781e+02	8.718506e+00	3.491599e+02
1.738906e+02	8.718506e+00	3.491334e+02
1.742031e+02	8.718506e+00	3.491069e+02
1.745156e+02	8.718506e+00	3.490804e+02
1.748281e+02	8.718506e+00	3.490540e+02
1.751406e+02	8.718506e+00	3.490275e+02
1.754531e+02	8.718506e+00	3.490011e+02
1.757656e+02	8.718506e+00	3.489747e+02
1.760781e+02	8.718506e+00	3.489483e+02
1.763906e+02	8.718506e+00	3.489219e+02
1.767031e+02	8.718506e+00	3.488956e+02
1.770156e+02	8.718506e+00	3.488692e+02
1.773281e+02	8.718506e+00	3.488429e+02
1.776406e+02	8.718506e+00	3.488166e+02
1.779531e+02	8.718506e+00	3.487903e+02
1.782656e+02	8.718506e+00	3.487640e+02
1.785781e+02	8.718506e+00	3.487378e+02
1.788906e+02	8.718506e+00	3.487115e+02
1.792031e+02	8.718506e+00	3.486853e+02
1.795156e+02	8.718506e+00	3.486590e+02
1.798281e+02	8.718506e+00	3.486328e+02
1.801406e+02	8.718506e+00	3.486067e+02
1.804531e+02	8.718506e+00	3.485805e+02
1.807656e+02	8.718506e+00	3.485543e+02
1.810781e+02	8.718506e+00	3.485282e+02
1.813906e+02	8.718506e+00	3.485020e+02
1.817031e+02	8.718506e+00	3.484759e+02
1.820156e+02	8.718506e+00	3.484498e+02
1.823281e+02	8.718506e+00	3.484238e+02
1.826406e+02	8.718506e+00	3.483977e+02
1.829531e+02	8.718506e+00	3.483716e+02
1.832656e+02	8.718506e+00	3.483456e+02
1.835781e+02	8.718506e+00	3.483196e+02
1.838906e+02	8.718506e+00	3.482936e+02
1.842031e+02	8.718506e+00	3.482676e+02
1.845156e+02	8.718506e+00	3.482416e+02
1.848281e+02	8.718506e+00	3.482156e+02
1.851406e+02	8.718506e+00	3.481897e+02
1.854531e+02	8.718506e+00	3.481637e+02
1.857656e+02	8.718506e+00	3.481378e+02
1.860781e+02	8.718506e+00	3.481119e+02
1.863906e+02	8.718506e+00	3.480860e+02
1.867031e+02	8.718506e+00	3.480601e+02
1.870156e+02	8.718506e+00	3.480343e+02
1.873281e+02	8.718506e+00	3.480084e+02
1.876406e+02	8.718506e+00	3.479826e+02
1.879531e+02	8.718506e+00	3.479568e+02
1.882656e+02	8.718506e+00	3.479310e+02
1.885781e+02	8.718506e+00	3.479052e+02
1.888906e+02	8.718506e+00	3.478794e+02
1.892031e+02	8.718506e+00	3.478536e+02
1.895156e+02	8.718506e+00	3.478279e+02
1.898281e+02	8.718506e+00	3.478022e+02
