  # Source : cellZone bedOfSpheres
# Cells  : 12131
# Time	sum(V)	volIntegrate(T)
1.637124e+03	5.221114e-01	1.666887e+02
1.637642e+03	5.221114e-01	1.666798e+02
1.638161e+03	5.221114e-01	1.666709e+02
1.638679e+03	5.221114e-01	1.666620e+02
1.639197e+03	5.221114e-01	1.666531e+02
1.639715e+03	5.221114e-01	1.666442e+02
1.640233e+03	5.221114e-01	1.666354e+02
1.640751e+03	5.221114e-01	1.666265e+02
1.641269e+03	5.221114e-01	1.666177e+02
1.641788e+03	5.221114e-01	1.666088e+02
1.642306e+03	5.221114e-01	1.666000e+02
1.642824e+03	5.221114e-01	1.665912e+02
1.643342e+03	5.221114e-01	1.665824e+02
1.643860e+03	5.221114e-01	1.665736e+02
1.644378e+03	5.221114e-01	1.665648e+02
1.644896e+03	5.221114e-01	1.665560e+02
1.645415e+03	5.221114e-01	1.665472e+02
1.645933e+03	5.221114e-01	1.665384e+02
1.646451e+03	5.221114e-01	1.665296e+02
1.646969e+03	5.221114e-01	1.665209e+02
1.647487e+03	5.221114e-01	1.665121e+02
1.648005e+03	5.221114e-01	1.665034e+02
1.648523e+03	5.221114e-01	1.664946e+02
1.649041e+03	5.221114e-01	1.664859e+02
1.649560e+03	5.221114e-01	1.664772e+02
1.650078e+03	5.221114e-01	1.664685e+02
1.650596e+03	5.221114e-01	1.664598e+02
1.651114e+03	5.221114e-01	1.664511e+02
1.651632e+03	5.221114e-01	1.664424e+02
1.652150e+03	5.221114e-01	1.664337e+02
1.652668e+03	5.221114e-01	1.664250e+02
1.653187e+03	5.221114e-01	1.664164e+02
1.653705e+03	5.221114e-01	1.664077e+02
1.654223e+03	5.221114e-01	1.663991e+02
1.654741e+03	5.221114e-01	1.663904e+02
1.655259e+03	5.221114e-01	1.663818e+02
1.655777e+03	5.221114e-01	1.663731e+02
1.656295e+03	5.221114e-01	1.663645e+02
1.656813e+03	5.221114e-01	1.663559e+02
1.657332e+03	5.221114e-01	1.663473e+02
1.657850e+03	5.221114e-01	1.663387e+02
1.658368e+03	5.221114e-01	1.663301e+02
1.658886e+03	5.221114e-01	1.663215e+02
1.659404e+03	5.221114e-01	1.663130e+02
1.659922e+03	5.221114e-01	1.663044e+02
1.660440e+03	5.221114e-01	1.662958e+02
1.660959e+03	5.221114e-01	1.662873e+02
1.661477e+03	5.221114e-01	1.662788e+02
1.661995e+03	5.221114e-01	1.662702e+02
1.662513e+03	5.221114e-01	1.662617e+02
1.663031e+03	5.221114e-01	1.662532e+02
